titulo,url,precio_pesos,precio_dolar,precio_euro,fecha
LA CASA NEVILLE . LA FORMIDABLE SEÑORITA  MANON,https://cuspide.com/producto/la-casa-neville-la-formidable-senorita-manon/,11900.0,34.02,32.17,25/10/2023
ESTE DOLOR NO ES MIO,https://cuspide.com/producto/este-dolor-no-es-mio/,11500.0,32.88,31.09,25/10/2023
OXIDO,https://cuspide.com/producto/oxido/,12999.0,37.16,35.14,25/10/2023
EL PROBLEMA FINAL,https://cuspide.com/producto/el-problema-final/,10699.0,30.59,28.92,25/10/2023
ARTIFICIAL,https://cuspide.com/producto/artificial-2/,7999.0,22.87,21.62,25/10/2023
HOROSCOPO CHINO 2024,https://cuspide.com/producto/horoscopo-chino-2024/,7999.0,22.87,21.62,25/10/2023
HOLLY,https://cuspide.com/producto/holly/,15999.0,45.74,43.25,25/10/2023
DESTROZA ESTE DIARIO ( A TODO COLOR ),https://cuspide.com/producto/destroza-este-diario-a-todo-color/,11200.0,32.02,30.27,25/10/2023
TESIS SOBRE UNA DOMESTICACION,https://cuspide.com/producto/tesis-sobre-una-domesticacion/,9900.0,28.3,26.76,25/10/2023
EL VIENTO CONOCE MI NOMBRE,https://cuspide.com/producto/el-viento-conoce-mi-nombre/,10699.0,30.59,28.92,25/10/2023
UNA FAMILIA ANORMAL,https://cuspide.com/producto/una-familia-anormal-5/,4199.0,12.0,11.35,25/10/2023
EL PODER DE LAS PALABRAS,https://cuspide.com/producto/el-poder-de-las-palabras/,10599.0,30.3,28.65,25/10/2023
TAYLOR : FROM THE VAULT,https://cuspide.com/producto/taylor-from-the-vault/,6999.0,20.01,18.92,25/10/2023
LA FELICIDAD CABE EN UNA TAZA DE CAFE,https://cuspide.com/producto/la-felicidad-cabe-en-una-taza-de-cafe/,5999.0,17.15,16.22,25/10/2023
LA ARMADURA DE LA LUZ,https://cuspide.com/producto/la-armadura-de-la-luz/,19999.0,57.17,54.06,25/10/2023
PORQUE DEMASIADO NO ES SUFICIENTE,https://cuspide.com/producto/porque-demasiado-no-es-suficiente/,8900.0,25.44,24.06,25/10/2023
LAS NI/AS DEL NARANJEL,https://cuspide.com/producto/las-ni-as-del-naranjel/,9999.0,28.58,27.03,25/10/2023
