Nombre,URL,Precio,Precio_Dolar,Precio_Euro
LA CASA NEVILLE . LA FORMIDABLE SEÑORITA  MANON,https://cuspide.com/producto/la-casa-neville-la-formidable-senorita-manon/,11900.0,32.56,30.74
OXIDO,https://cuspide.com/producto/oxido/,12999.0,35.56,33.57
ARTIFICIAL,https://cuspide.com/producto/artificial-2/,7999.0,21.89,20.66
EL PROBLEMA FINAL,https://cuspide.com/producto/el-problema-final/,10699.0,29.27,27.63
HOROSCOPO CHINO 2024,https://cuspide.com/producto/horoscopo-chino-2024/,7999.0,21.89,20.66
DESTROZA ESTE DIARIO ( A TODO COLOR ),https://cuspide.com/producto/destroza-este-diario-a-todo-color/,11200.0,30.64,28.92
TESIS SOBRE UNA DOMESTICACION,https://cuspide.com/producto/tesis-sobre-una-domesticacion/,9900.0,27.09,25.57
EL VIENTO CONOCE MI NOMBRE,https://cuspide.com/producto/el-viento-conoce-mi-nombre/,10699.0,29.27,27.63
HOLLY,https://cuspide.com/producto/holly/,15999.0,43.77,41.32
UNA FAMILIA ANORMAL,https://cuspide.com/producto/una-familia-anormal-5/,4199.0,11.49,10.85
TAYLOR : FROM THE VAULT,https://cuspide.com/producto/taylor-from-the-vault/,6999.0,19.15,18.08
EL PODER DE LAS PALABRAS,https://cuspide.com/producto/el-poder-de-las-palabras/,10599.0,29.0,27.38
DEJA DE SER TU,https://cuspide.com/producto/deja-de-ser-tu/,13390.0,36.63,34.58
MIS DIAS EN LA LIBRERIA MORISAKI,https://cuspide.com/producto/mis-dias-en-la-libreria-morisaki/,5850.0,16.01,15.11
LA FELICIDAD CABE EN UNA TAZA DE CAFE,https://cuspide.com/producto/la-felicidad-cabe-en-una-taza-de-cafe/,5999.0,16.41,15.49
EL HOMBRE EN BUSCA DE SENTIDO,https://cuspide.com/producto/el-hombre-en-busca-de-sentido/,6890.0,18.85,17.79
BEYOND THE STORY ( EDICION EN ESPA/OL ),https://cuspide.com/producto/beyond-the-story-edicion-en-espa-ol/,9999.0,27.36,25.83
LA CRISIS DE LA NARRACION,https://cuspide.com/producto/la-crisis-de-la-narracion/,6800.0,18.6,17.56
ENCUENTRA TU PERSONA VITAMINA,https://cuspide.com/producto/encuentra-tu-persona-vitamina/,12500.0,34.2,32.29
PORQUE DEMASIADO NO ES SUFICIENTE,https://cuspide.com/producto/porque-demasiado-no-es-suficiente/,8900.0,24.35,22.99
LA ARMADURA DE LA LUZ,https://cuspide.com/producto/la-armadura-de-la-luz/,19999.0,54.72,51.66
EL VUELO DE LA LIBELULA,https://cuspide.com/producto/el-vuelo-de-la-libelula/,8799.0,24.07,22.72
"MUCHAS VIDAS , MUCHOS MAESTROS",https://cuspide.com/producto/muchas-vidas-muchos-maestros-2/,7199.0,19.7,18.6
EL NI/O RESENTIDO,https://cuspide.com/producto/el-ni-o-resentido/,4999.0,13.68,12.91
ANTES DE QUE SE ENFRIE EL CAFE,https://cuspide.com/producto/antes-de-que-se-enfrie-el-cafe/,9699.0,26.54,25.05
